Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
challengeLearnBossHordesShort,Challenges,Challenge,,,Defeat some Boss Hordes.,,Besiege ein paar Boss-Horden.,Derrota a hordas de jefes.,Éliminez des hordes de boss.,Sconfiggi delle orde boss.,ボス投票により出現した群れを倒す。,보스 무리를 처치하세요.,Pokonaj kilka hord bossa.,Derrote algumas hordas de chefe.,Победите несколько полчищ с боссом.,Birkaç Elebaşı Sürüsü yen.,击败一些Boss群。,擊敗幾個大怪部落。
challengeLearnTwitchBadActions,Challenges,Challenge,,,Bad Actions,,Negative Aktionen,Acciones malas,Mauvaises actions,Cattive azioni,悪行アクション,나쁜 액션,Złe akcje,Más Ações,«Плохие» действия,Kötü Eylemler,负面动作,壞行動
challengeLearnTwitchBadActionsDesc,Challenges,Challenge,,,"Some viewers may prefer to make your game more challenging by spawning [DECEA3]Enemies[-], making them stronger with [DECEA3]Buffs[-], affecting the world's [DECEA3]Weather[-], or adding [DECEA3]Debuffs[-] like [DECEA3]Slow[-] or [DECEA3]Confuse[-] to you and your party.\n\n[DECEA3]Bad Actions[-] will contribute towards the [DECEA3]Twitch Cooldown[-]. [DECEA3]Cooldown[-] options can be configured in [DECEA3]Twitch Settings[-].",,"Einige Zuschauer ziehen es vielleicht vor, dein Spiel schwieriger zu machen, indem sie [DECEA3]Gegner[-] spawnen, sie mit [DECEA3]Buffs[-] stärken, das [DECEA3]Wetter[-] der Welt beeinflussen oder [DECEA3]Debuffs[-] wie [DECEA3]Langsam[-] oder [DECEA3]Verwirren[-] bei dir oder deiner Gruppe einsetzen.\n\n[DECEA3]Negative Aktionen[-] erhöhen die [DECEA3]Twitch-Abklingzeit[-]. [DECEA3]Abklingzeit-[-]Optionen können in den [DECEA3]Twitch-Einstellungen[-] konfiguriert werden.","Algunos espectadores quizás prefieren que el juego sea más desafiante y hacen aparecer [DECEA3]enemigos[-], los hacen más poderosos con [DECEA3]potenciadores[-], afectan el [DECEA3]clima[-] del mundo o te infligen [DECEA3]debilitadores[-] como [DECEA3]Lentitud[-] o [DECEA3]Confusión[-] a ti y a tu grupo.\n\nLas [DECEA3]acciones malas[-] contribuirán al [DECEA3]enfriamiento de Twitch[-]. Las opciones de [DECEA3]enfriamiento[-] se pueden configurar en los [DECEA3]ajustes de Twitch[-].","Certains spectateurs sont susceptibles de vouloir complexifier votre partie en faisant apparaître des [DECEA3]ennemis[-], en leur attribuant des [DECEA3]bonus[-], en modifiant la [DECEA3]météo[-] ou en infligeant des [DECEA3]malus[-] comme [DECEA3]Ralentissement[-] ou [DECEA3]Perturbation[-] à vous et votre groupe.\n\nLes [DECEA3]mauvaises actions[-] comptent dans le [DECEA3]temps de rechargement Twitch[-]. Les options relatives au [DECEA3]rechargement[-] peuvent être configurées depuis les [DECEA3]paramètres de Twitch[-].","Alcuni spettatori potrebbero rendere la partita più difficoltosa, facendo apparire [DECEA3]nemici[-], rendendoli più forti con i [DECEA3]buff[-], modificando il [DECEA3]clima[-] o applicando [DECEA3]debuff[-] come [DECEA3]Rallentamento[-] o [DECEA3]Confondi[-] a te e al tuo gruppo.\n\nLe [DECEA3]cattive azioni[-] influenzano il [DECEA3]tempo di recupero di Twitch[-]. Le opzioni relative al [DECEA3]tempo di recupero[-] possono essere configurate nelle [DECEA3]Impostazioni Twitch[-].",[DECEA3]敵[-]を出現させたり、敵に[DECEA3]バフ[-]を付与したり、[DECEA3]天候[-]を変更したり、プレイヤーに[DECEA3]減速[-]や[DECEA3]混乱[-]などの[DECEA3]デバフ[-]をあなたやあなたのパーティーメンバーにかけることで、ゲームの難易度を上げることを好む視聴者もいます。\n\n[DECEA3]悪行アクション[-]は[DECEA3]Twitchクールダウン[-]に加算されます。[DECEA3]クールダウン[-]の設定は[DECEA3]Twitch設定[-]で変更することができます。,"일부 시청자는 [DECEA3]적[-]을 생성하거나, 적에게 [DECEA3]버프[-]를 줘서 더 강하게 만들거나, 세계의 [DECEA3]날씨[-]에 영향을 주거나, 나와 내 파티원들에게 [DECEA3]감속[-]이나 [DECEA3]혼란[-] 같은 [DECEA3]디버프[-]를 줘서 게임을 더 어렵게 만들고 싶어 할 수 있습니다.\n\n[DECEA3]나쁜 액션[-]에는 [DECEA3]Twitch 쿨다운[-]이 적용됩니다. [DECEA3]쿨다운[-] 옵션은 [DECEA3]Twitch 설정[-]에서 설정 가능합니다.","Niektórzy widzowie mogą chcieć utrudnić grę tobie i twojej drużynie poprzez generowanie [DECEA3]wrogów[-], wzmacnianie ich za pomocą [DECEA3]premii[-], wpływanie na [DECEA3]pogodę[-] lub dodawanie [DECEA3]osłabień[-], takich jak [DECEA3]spowolnienie[-] czy [DECEA3]zmylenie[-].\n\nStosowanie [DECEA3]złych akcji[-] wpływa na [DECEA3]czas odświeżania Twitcha[-]. Opcje [DECEA3]czasu odświeżania[-] można skonfigurować w [DECEA3]ustawieniach Twitcha[-].","Alguns espectadores podem preferir que seu jogo seja mais difícil e gerar [DECEA3]inimigos[-], fortalecendo-os com [DECEA3]bônus[-], afetando o [DECEA3]clima[-] ou adicionando [DECEA3]penalidades[-], como [DECEA3]Lentidão[-] ou [DECEA3]Confundir[-] a você e sua equipe.\n\n[DECEA3]Más Ações[-] contribuirão com [DECEA3]Tempo de recarga do Twitch[-]. As opções de [DECEA3]tempo de recarga[-] você configura nas [DECEA3]Configurações do Twitch[-].","У зрителей есть возможность усложнить вам игру, создавая [DECEA3]врагов[-], усиливая их с помощью [DECEA3]положительных эффектов[-], меняя [DECEA3]погоду[-] в мире или добавляя вам и вашей группе [DECEA3]отрицательные эффекты[-], такие как [DECEA3]Замедление[-] или [DECEA3]Запутать[-].\n\nУ [DECEA3]плохих действий[-] есть [DECEA3]время восстановления[-]. Параметры [DECEA3]времени восстановления[-] можно менять в [DECEA3]настройках Twitch[-].","Bazı izlayiciler [DECEA3]Düşman[-] çıkararak, onları [DECEA3]Güçlendirmeler[-] ile destekleyerek, dünyanın [DECEA3]Hava Durumunu[-] etkileyerek veya sana ve grubuna [DECEA3]Yavaşlatma[-] veya [DECEA3]Şaşırtma[-] gibi [DECEA3]Zayıflatmalar[-] vererek oyununu daha zorlayıcı hâle getirebilir.\n\n[DECEA3]Kötü Eylemler[-] [DECEA3]Twitch Bekleme Süresine[-] katkıda bulunur. [DECEA3]Bekleme Süresi[-] seçenekleri [DECEA3]Twitch Ayarlarında[-] belirlenebilir.",一些观众可能会通过生成[DECEA3]敌人[-]、使用[DECEA3]增益[-]让敌人变得更强、影响世界的[DECEA3]天气[-]，或者给你和你的队伍施加[DECEA3]减益[-]（比如[DECEA3]减速[-]或[DECEA3]迷惑[-]），来让你的游戏更具挑战性。\n\n[DECEA3]负面动作[-]会导致[DECEA3] Twitch 冷却时间[-]增加。可以在[DECEA3] Twitch 设置[-]中更改[DECEA3]冷却时间[-]选项。,有些觀眾可能喜歡增加遊戲挑戰性，因此會生成[DECEA3]敵人[-]、使用[DECEA3]增益[-]效果讓敵人變強、影響世界的[DECEA3]天氣[-]，或者向你和隊友施加[DECEA3]緩速[-]或[DECEA3]混淆[-]之類的[DECEA3]減益[-]效果。\n\n[DECEA3]壞動作[-]會計入 [DECEA3]Twitch 冷卻時間[-]。[DECEA3]冷卻[-]選項可以在 [DECEA3]Twitch 設定[-]中配置。
challengeLearnTwitchBadActionsShort,Challenges,Challenge,,,Viewers use Bad Actions.,,Zuschauer nutzen Negative Aktionen.,Los espectadores usan acciones malas.,Les spectateurs utilisent de mauvaises actions.,Gli spettatori usano le cattive azioni.,視聴者に悪行アクションをしてもらう。,시청자가 나쁜 액션을 사용합니다.,Widzowie używają złych akcji.,Espectadores podem usar Más Ações.,Зрители используют «плохие» действия.,İzleyiciler Kötü Eylemler kullanır.,观众使用负面动作。,觀眾使用壞行動。
challengeLearnTwitchBitPot,Challenges,Challenge,,,Bit Pot,,Bit-Topf,Bote de bits,Pot de Bits,Bottino di bit,ビットポット,Bit 팟,Pula bitsów,Prêmio de bits,Банк битов,Bit Potu,呼币池,小奇點獎池
challengeLearnTwitchBitPotDesc,Challenges,Challenge,,,"The [DECEA3]Bit Pot[-] is composed of a percentage of all [DECEA3]Bits[-] used on [DECEA3]Bit Commands[-].\n\nWhen a viewer defeats you with a [DECEA3]Bit Command[-], they will earn both the [DECEA3]Pimp Pot[-] and the [DECEA3]Bit Pot[-].",,"Der [DECEA3]Bit-Topf[-] setzt sich aus einem Prozentsatz aller [DECEA3]Bits[-] zusammen, die bei [DECEA3]Bit-Befehlen[-] eingesetzt wurden.\n\nWenn ein Zuschauer dich mit einem [DECEA3]Bit-Befehl[-] besiegt, verdient er sowohl den [DECEA3]Pimp-Topf[-] als auch den [DECEA3]Bit-Topf[-].","El [DECEA3]bote de bits[-] está compuesto de un porcentaje de todos los [DECEA3]bits[-] usados en [DECEA3]comandos de bits[-].\n\nCuando un espectador te derrota con un [DECEA3]comando de bit[-], ganará tanto el [DECEA3]bote chulo[-] y el [DECEA3]bote de bits[-].","Le [DECEA3]Pot de Bits[-] est constitué d'un pourcentage de tous les [DECEA3]Bits[-] dépensés dans les [DECEA3]commandes en Bits[-].\n\nLorsqu'un spectateur vous tue avec une [DECEA3]commande en Bits[-], il gagne le [DECEA3]Pot de Pimp[-] et le [DECEA3]Pot de Bits[-].","Il [DECEA3]bottino di bit[-] è composto da una percentuale di tutti i [DECEA3]bit[-] utilizzati sui [DECEA3]comandi bit[-].\n\nQuando uno spettatore ti sconfigge con un [DECEA3]comando bit[-], guadagnerà sia il [DECEA3]bottino dei fan[-] che il [DECEA3]bottino di bit[-].",[DECEA3]ビットポット[-]には視聴者が使用した[DECEA3]ビッツコマンド[-]の[DECEA3]ビッツ[-]の一部が入っています。\n\n視聴者が[DECEA3]ビッツコマンド[-]により配信者を敗北させると、[DECEA3]ピンプポット[-]と[DECEA3]ビットポット[-]の両方を獲得することができます。,"[DECEA3]Bit 팟[-]은 [DECEA3]Bit 명령어[-]에 사용하는 전체 [DECEA3]Bit[-]의 일부로 구성됩니다.\n\n시청자에게 [DECEA3]Bit 명령어[-]로 패배할 경우, 시청자는 [DECEA3]핌프 팟[-]과 [DECEA3]Bit 팟[-]을 모두 받습니다.","[DECEA3]Pula bitsów[-] to procent wszystkich [DECEA3]bitsów[-] zużytych na [DECEA3]polecenia bitsowe[-].\n\nKiedy widz pokona cię za pomocą [DECEA3]polecenia bitsowego[-], zdobędzie zarówno [DECEA3]pulę cwaniaka[-], jak i [DECEA3]pulę bitsów[-].","O [DECEA3]Prêmio de bits[-] é composto pela porcentagem de todos os [DECEA3]bits[-] usados em [DECEA3]Comandos de bit[-].\n\nQuando um espectador derrota você com um [DECEA3]Comando de bit[-], ele ganhará tanto o [DECEA3]Prêmio de interação[-] quanto o [DECEA3]Prêmio de bits[-].","[DECEA3]Банк битов[-] — это процент от всех [DECEA3]битов[-], потраченных на [DECEA3]команды за биты[-].\n\nПобедив вас с помощью [DECEA3]команды за биты[-], зритель получит [DECEA3]банк активности[-] и [DECEA3]банк битов[-].","[DECEA3]Bit Potu[-], [DECEA3]Bit Komutları[-] için kullanılan tüm [DECEA3]Bitlerin[-] bir yüzdesinden oluşmaktadır.\n\nBir oyuncu seni bir [DECEA3]Bit Komutuyla[-] yendiğinde hem [DECEA3]Pimp Potunu[-] hem de [DECEA3]Bit Potunu[-] kazanır.",[DECEA3]呼币池[-]由所有用于[DECEA3]呼币命令[-]的[DECEA3]呼币[-]的其中一部分组成。\n\n当一位观众用[DECEA3]呼币命令[-]击败你时，他们将同时赢得[DECEA3]恶搞池[-]和[DECEA3]呼币池[-]。,所有用於[DECEA3]小奇點指令[-]的[DECEA3]小奇點[-]，會有一部分計入[DECEA3]小奇點獎池[-]。\n\n當觀眾用[DECEA3]小奇點指令[-]擊敗你時，他們將獲得 [DECEA3]Pimp Pot[-] 和[DECEA3]小奇點獎池[-]的獎勵。
challengeLearnTwitchBitPotShort,Challenges,Challenge,,,Reward the Bit Pot.,,Zahle den Bit-Topf aus.,Otorga el bote de bits.,Attribuez le Pot de Bits.,Assegna il bottino di bit.,ビットポットを獲得してもらう,Bit 팟을 지급하세요.,Przyznaj pulę bitsów.,Recompensa pelo prêmio de bits.,Наградить банком битов.,Bit Potu ödüllerini ver.,奖励呼币池。,獎勵小奇點獎池。
challengeLearnTwitchChannelPointRedeems,Challenges,Challenge,,,Channel Point Redeems,,Kanalpunkt einlösen,Canje de puntos de canal,Activations de Points de chaîne,Riscatta i punti del canale,チャンネルポイント返済,채널 포인트 교환,Realizacja punktów kanału,Resgates de ponto do canal,Обмен очков канала,Kanal Puanı Alımları,频道点数兑换,忠誠點數兌換數
challengeLearnTwitchChannelPointRedeemsDesc,Challenges,Challenge,,,Your viewers can also spend [DECEA3]Channel Points[-] to help you with [DECEA3]Mystery Supplies[-] or spawn deadly [DECEA3]Murder Chickens[-] to try and take you out.,,"Deine Zuschauer können auch [DECEA3]Kanalpunkte[-] ausgeben, um dir bei [DECEA3]Geheimnisvollen Vorräten[-] zu helfen oder tödliche [DECEA3]Mordhühner[-] zu spawnen, die versuchen, dich umzubringen.",Tus espectadores también pueden usar [DECEA3]puntos de canal[-] para ayudarte con [DECEA3]suministros misteriosos[-] o hacer aparecer [DECEA3]pollos asesinos[-] para intentar eliminarte.,Vos spectateurs peuvent également dépenser des [DECEA3]Points de chaîne[-] pour vous aider avec des [DECEA3]provisions mystérieuses[-] ou faire apparaître de redoutables [DECEA3]poulets meurtriers[-] pour essayer de vous éliminer.,I tuoi spettatori possono anche spendere i [DECEA3]punti del canale[-] per aiutarti con [DECEA3]provviste misteriose[-] o generare letali [DECEA3]galline assassine[-] per cercare di eliminarti.,視聴者は[DECEA3]チャンネルポイント[-]を使って、[DECEA3]ミステリー補給[-]を送ったり、恐ろしい[DECEA3]殺人ニワトリ[-]を出現させることがあります。,"시청자들이 [DECEA3]채널 포인트[-]를 써서 [DECEA3]수수께끼 보급품[-]으로 날 돕거나, [DECEA3]살인 닭[-]을 생성하여 나를 공격할 수 있습니다.","Widzowie mogą też wydawać [DECEA3]punkty kanału[-], aby pomóc ci w zdobyciu [DECEA3]tajemniczych zapasów[-], lub generować zabójcze [DECEA3]mordercze kurczaki[-], aby spróbować cię zlikwidować.",Seus espectadores também podem usar [DECEA3]pontos do canal[-] para ajudar você com [DECEA3]suprimentos misteriosos[-] ou gerar [DECEA3]galinhas assassinas[-] para te derrotar.,Также зрители могут потратить [DECEA3]очки канала[-] и помочь вам [DECEA3]загадочными припасами[-] или создать смертоносных [DECEA3]кур-убийц[-] и попытаться разделаться с вами.,İzleyicilerin sana [DECEA3]Gizemli Malzemeler[-] ile yardımcı olmak için [DECEA3]Kanal Puanı[-] harcayabilir veya seni öldürmek için ölümcül [DECEA3]Katil Tavuklar[-] çıkarabilir.,观众还可以花费[DECEA3]频道点数[-]来帮你获得[DECEA3]神秘补给[-]，或生成致命的[DECEA3]杀人鸡[-]来试图干掉你。,你的觀眾還可以花費[DECEA3]忠誠點數[-]幫助你獲得[DECEA3]神秘物品[-]，或者生成致命的[DECEA3]殺手雞[-]來取你的性命。
challengeLearnTwitchChannelPointRedeemsShort,Challenges,Challenge,,,Redeem Channel Point Rewards.,,Löse Kanalpunkt-Belohnungen ein.,Canjea recompensas de puntos de canal.,Activez les récompenses de Points de chaîne.,Riscatta le ricompense con i punti del canale.,チャンネルポイント返済を行う,채널 포인트 보상을 교환하세요.,Zrealizuj nagrody punktów kanału.,Resgate recompensas de ponto do canal.,Обменять очки канала на награды,Kanal Puanı Ödüllerini al.,兑换频道点数奖励。,兌換忠誠點數獎勵。
challengeLearnTwitchEnabled,Challenges,Challenge,,,Enable Twitch Integration,,Aktiviere die Twitch-Integration,Habilita la integración con Twitch,Activer l'intégration de Twitch,Abilita l'integrazione di Twitch,Twitch連携を有効にする,Twitch Integration 활성화,Włącz integrację z Twitchem,Habilitar integração com o Twitch,Включить интеграцию с Twitch,Twitch Entegrasyonunu Etkinleştir,启用Twitch集成,啟用 Twitch Integration
challengeLearnTwitchEnabledDesc,Challenges,Challenge,,,To begin using 7 Days to Die with [800080]Twitch Integration[-] you'll need to connect your [800080]Twitch[-] account.\n\nGo to [DECEA3]Options[-] ► [DECEA3]Twitch[-] and then select [DECEA3]Connect[-].\nThen follow any on-screen instructions that appear.\n\nOnce you are [DECEA3]Connected[-] you can exit the [DECEA3]Twitch Settings Menu[-].,,"Wenn du 7 Days to Die mit [800080]Twitch-Integration[-] nutzen willst, musst du dich mit deinem [800080]Twitch-[-]Konto verbinden.\n\nGehe auf [DECEA3]Optionen[-] ► [DECEA3]Twitch[-] und wähle dann [DECEA3]Verbinden[-].\nBefolge dann die Anweisungen, die auf dem Bildschirm erscheinen.\n\nSobald du [DECEA3]verbunden bist[-], kannst du die [DECEA3]Twitch-Einstellungen[-] verlassen.","Para comenzar a usar 7 Days To Die con la [800080]integración con Twitch[-], deberás conectar tu cuenta de [800080]Twitch[-].\n\nVe a [DECEA3]Opciones[-] ► [DECEA3]Twitch[-] y selecciona [DECEA3]Conectar[-].\nLuego sigue las instrucciones que aparezcan en la pantalla.\n\nCuando te hayas [DECEA3]conectado[-], puedes salir del [DECEA3]menú de ajustes de Twitch[-].","Pour commencer à jouer à 7 Days to Die avec [800080]l'intégration de Twitch[-] vous devez vous connecter avec votre compte [800080]Twitch[-].\n\nAllez dans [DECEA3]Options[-] ► [DECEA3]Twitch[-] et sélectionnez [DECEA3]Connexion[-].\nPuis suivez les instructions qui s'affichent à l'écran.\n\nUne fois la [DECEA3]connexion[-] réussie, vous pouvez quitter le [DECEA3]menu Paramètres de Twitch[-].","Per iniziare a usare 7 Days to Die con l'[800080]integrazione di Twitch[-] devi connetterti al tuo account [800080]Twitch[-].\n\nVai a [DECEA3]Opzioni[-] ► [DECEA3]Twitch[-] e seleziona [DECEA3]Connetti[-].\nPoi segui le istruzioni che appariranno sullo schermo.\n\nUna volta [DECEA3]connesso[-], potrai uscire dal [DECEA3]menu delle impostazioni di Twitch[-].",[800080]Twitch連携[-]を使用するためには、自分の[800080]Twitch[-]アカウントにまずログインし、ゲームと連携させる必要があります。\n\n[DECEA3]オプション[-]から[DECEA3]Twitch[-]を選択し、[DECEA3]Twitchにログイン[-]を押し、スクリーン上の説明に従います。\n\n[DECEA3]連携[-]が完了したら[DECEA3]Twitchの設定画面[-]を閉じます。,7 Days to Die를 [800080]Twitch Integration[-]과 함께 사용하려면 내 [800080]Twitch[-] 계정을 연결해야 합니다.\n\n[DECEA3]옵션[-] ► [DECEA3]Twitch[-]로 이동한 뒤 [DECEA3]연결[-]을 선택하세요.\n그 다음 화면에 표시되는 안내를 따르세요.\n\n[DECEA3]연결이 완료[-]되면 [DECEA3]Twitch 설정 메뉴[-]에서 나갑니다.,"Aby rozpocząć grę w 7 Days to Die w [800080]integracji z Twichem[-], musisz podłączyć swoje konto w serwisie [800080]Twitch[-].\n\nPrzejdź do: [DECEA3]Opcje[-] ► [DECEA3]Twitch[-], a następnie wybierz [DECEA3]Połącz[-].\nPotem postępuj zgodnie z instrukcjami wyświetlanymi na ekranie.\n\nPo nawiązaniu [DECEA3]połączenia[-] możesz wyjść z [DECEA3]menu ustawień Twitcha[-].","Para começar a usar 7 Days to Die com [800080]Integração com o Twitch[-], você terá que se conectar à conta do [800080]Twitch[-].\n\nVá em [DECEA3]Opções[-] ► [DECEA3]Twitch[-] e selecione [DECEA3]Conectar[-].\nSiga as instruções na tela.\n\nQuando estiver tudo [DECEA3]conectado[-], você poderá sair do [DECEA3]menu de Configurações do Twitch[-].",Начните использовать 7 Days to Die с [800080]интеграцией с Twitch[-]: для этого надо подключить учетную запись [800080]Twitch[-].\n\nПерейдите в раздел [DECEA3]Настройки[-] ► [DECEA3]Twitch[-] и выберите вариант [DECEA3]Подключить[-].\nЗатем следуйте инструкции.\n\nПосле [DECEA3]подключения[-] можно выйти из [DECEA3]меню «Настройки Twitch»[-].,7 Days to Die'ı [800080]Twitch Entegrasyonu[-] ile kullanmaya başlamak için [800080]Twitch[-] hesabını bağlaman gerekir.\n\n[DECEA3]Seçenekler[-] ► [DECEA3]Twitch'e[-] git ve [DECEA3]Bağlan[-] seçeneğini seç.\nSonra ekranda çıkan talimatları takip et.\n\n[DECEA3]Bağlandıktan[-] sonra [DECEA3]Twitch Ayarları Menüsünden[-] çıkabilirsin.,要开始使用《7 Days to Die》的[800080]Twitch集成[-]功能，你需要连接你的[800080]Twitch[-]账号。\n\n前往[DECEA3]选项[-]► [DECEA3]Twitch[-]，然后选择[DECEA3]连接[-]。\n接着按照屏幕上显示的任何指示操作。\n\n[DECEA3]成功连接[-]后，就可以退出[DECEA3]Twitch设置菜单[-]了。,如欲開始使用 [800080]Twitch Integration[-] 遊玩《七日殺》，必須先串聯至你的 [800080]Twitch[-] 帳號。\n\n請前往[DECEA3]選項[-] ► [DECEA3]Twitch[-]，然後選擇[DECEA3]串聯[-]。\n之後請依照畫面中的指示進行操作。\n\n[DECEA3]串聯[-]完成後就可以退出 [DECEA3]Twitch 設定選單[-]。
challengeLearnTwitchEnabledShort,Challenges,Challenge,,,Connect to Twitch Integration.,,Verbinde dich mit der Twitch-Integration.,Conecta la integración con Twitch.,Connectez-vous pour paramétrer l'intégration de Twitch.,Connettiti all'integrazione di Twitch.,Twitch連携を有効にする,Twitch Integration을 연결하세요.,Podłącz integrację z Twitchem.,Conecte-se com a integração com o Twitch.,Подключите интеграцию с Twitch.,Twitch Entegrasyonuna bağlan.,连接Twitch集成,連線至 Twitch Integration。
challengeLearnTwitchEnableExtras,Challenges,Challenge,,,Enable Extras,,Extras aktivieren,Habilita extras,Activer les commandes supplémentaires,Abilita le azioni extra,エクストラを有効にする,엑스트라 활성화,Włącz dodatkowe,Habilitar extras,Включить дополнительные возможности,Ekstraları Etkinleştir,启用额外命令,啟用額外項目
challengeLearnTwitchEnableExtrasDesc,Challenges,Challenge,,,"[DECEA3]Extra Commands[-] are just too painful for normal [800080]Twitch Integration[-].\n\nThese commands are disabled by default, but can be activated for those seeking a more challenging experience, giving their viewers more ways to affect gameplay.\n\nActivate some [DECEA3]Extra Commands[-].",,"[DECEA3]Extra-Einstellungen[-] sind einfach zu kompliziert für die normale [800080]Twitch-Integration[-].\n\nDiese Befehle sind standardmäßig deaktiviert, aber können für ein herausfordernderes Erlebnis aktiviert werden, wodurch die Zuschauer mehr Möglichkeiten haben, das Spiel zu beeinflussen.\n\nAktiviere einige [DECEA3]Extra-Einstellungen[-].","Los [DECEA3]comandos extras[-] son muy difíciles para la [800080]integración con Twitch[-] normal.\n\nEstos comandos están desactivados por defecto, pero los que quieran una experiencia más desafiante los pueden activar y darles a sus espectadores más formas de afectar el juego.\n\nActiva [DECEA3]comandos extras[-].","Les [DECEA3]commandes supplémentaires[-] sont trop complexes pour l'[800080]intégration de Twitch[-] de base.\n\nCes commandes sont désactivées par défaut, mais peuvent être activées pour quiconque cherche une expérience plus exigeante, donnant aux spectateurs plus de moyens d'influencer le gameplay.\n\nActivez des [DECEA3]commandes supplémentaires[-].","I [DECEA3]comandi extra[-] sono troppo dolorosi per la normale [800080]integrazione di Twitch[-].\n\nQuesti comandi sono disattivati per impostazione predefinita, ma possono essere attivati ​​per coloro che cercano un'esperienza più impegnativa, offrendo ai propri spettatori più modi per influenzare l'esperienza di gioco.\n\nAttiva dei [DECEA3]comandi extra[-].",[DECEA3]エクストラ[-]は、通常設定には向いていないハードな[800080]Twitch連携[-]アクションです。これらのアクションはデフォルトで無効になっています。チャレンジ好きであれば、有効にして視聴者により多くのアクションから選んでもらうことができます。\n\n[DECEA3]エクストラアクション[-]をいくつか有効にする。,"[DECEA3]엑스트라 명령어[-]는 평범한 [800080]Twitch Integration[-]에 비하면 너무 강력합니다.\n\n이 명령어는 기본적으로 비활성화되어 있지만, 더 어려운 도전을 원한다면 시청자에게 이것으로 더 다양하게 게임에 영향을 줄 수 있게 허락할 수 있습니다.\n\n[DECEA3]엑스트라 명령어[-]를 활성화하세요.","[DECEA3]Dodatkowe polecenia[-] są zwyczajnie zbyt uciążliwe w przypadku normalnej [800080]integracji z Twitchem[-].\n\nPolecenia te są domyślnie wyłączone, ale osoby szukające mocnych wrażeń mogą je aktywować, dając swoim widzom więcej możliwości wpływania na rozgrywkę.\n\nAktywuj kilka [DECEA3]dodatkowych poleceń[-].","[DECEA3]Comandos extras[-] são dolorosos demais para a [800080]Integração com o Twitch[-] normal.\n\nEles ficam desabilitados por padrão, mas é possível ativá-los, para quem quiser uma experiência mais desafiadora, pois dá aos espectadores mais possibilidades de afetar o jogo.\n\nAtive alguns [DECEA3]comandos extras[-].","[DECEA3]Дополнительные команды[-] — слишком большая головная боль при обычной [800080]интеграции с Twitch[-].\n\nЭти команды по умолчанию отключены, но если вы готовы к более сложным испытаниям, то включите их, чтобы дать зрителям больше возможностей повлиять на игру.\n\nВключите некоторые [DECEA3]дополнительные команды[-].",[DECEA3]Ekstra Komutlar[-] normal [800080]Twitch Entegrasyonu[-] için fazla acı veren komutlardır.\n\nBu komutlar varsayılan durumda devre dışıdır. Daha zorlayıcı bir deneyim arayan ve izleyicilerin oyunu etkilemesi için daha fazla yol olmasını isteyenler ekstra komutları etkinleştirebilir.\n\nBazı [DECEA3]Ekstra Komutları[-] etkinleştir.,[DECEA3]额外命令[-]对于普通的[800080]Twitch集成[-]体验来说实在过于痛苦了。\n\n这些命令默认禁用，但如果你想要追求更大的挑战，就可以启用，让观众有更多方式可以影响游戏玩法。\n\n启用一些[DECEA3]额外命令[-]。,[DECEA3]額外指令[-]對於普通的 [800080]Twitch Integration[-] 來說實在太搞心態了。\n\n這些指令在預設情況下是停用的，但如果你想挑戰自我、讓觀眾有更多影響遊戲玩法的選項，就可以選擇將其開啟。\n\n請啟用[DECEA3]額外指令[-]。
challengeLearnTwitchEnableExtrasShort,Challenges,Challenge,,,Enable some Extra Commands.,,Aktiviere einige Extra-Einstellungen.,Activa comandos extras.,Activez des commandes supplémentaires.,Abilita i comandi extra.,エクストラアクションを有効にする。,엑스트라 명령어를 활성화하세요.,Włącz kilka dodatkowych poleceń.,Habilitando comandos extras.,Включите некоторые дополнительные команды.,Bazı Ekstra Komutları etkinleştir.,启用一些额外命令。,啟用額外指令。
challengeLearnTwitchGoodActions,Challenges,Challenge,,,Good Actions,,Positive Aktionen,Acciones buenas,Bonnes actions,Buone azioni,善行アクション,좋은 액션,Dobre akcje,Boa ações,«Хорошие» действия,İyi Eylemler,正面动作,好行動
